id_city,id_reg,id_dep,city_name,dens_pop,density_degree,density_type,total_pop_2019,no_commute_pop,work_commute_perc
57467,44,57,Mey,153.93,6,"Rural à habitat dispersé",294,4.77273,98.3766
57468,44,57,Mittelbronn,89.36,6,"Rural à habitat dispersé",689,55.247,91.9816
57469,44,57,Mittersheim,35.96,6,"Rural à habitat dispersé",603,95,84.2454
57470,44,57,Molring,1.53,7,"Rural à habitat très dispersé",5,NULL,NULL
57471,44,57,Momerstroff,48.14,6,"Rural à habitat dispersé",297,5,98.3165
57472,44,57,Moncheux,20.14,6,"Rural à habitat dispersé",148,5.03401,96.5986
57473,44,57,Moncourt,9.94,6,"Rural à habitat dispersé",67,9.30556,86.1111
57474,44,57,Mondelange,1373.41,2,"Centres urbains intermédiaires",5631,379.448,93.2614
57475,44,57,Mondorff,136.72,5,"Bourgs ruraux",525,26.3174,94.9872
57476,44,57,Monneren,37.07,6,"Rural à habitat dispersé",410,18.7774,95.4201
57477,44,57,Montbronn,108.14,5,"Bourgs ruraux",1621,104.536,93.5511
57478,44,57,Montdidier,45.08,6,"Rural à habitat dispersé",87,NULL,NULL
57479,44,57,Montenach,50.6,6,"Rural à habitat dispersé",465,30,93.5484
57480,44,57,Montigny-lès-Metz,3265.52,1,"Grands centres urbains",21879,1758.69,91.9617
57481,44,57,Montois-la-Montagne,384.79,3,"Petites villes",2732,110.86,95.9422
57482,44,57,Ogy-Montoy-Flanville,174.85,5,"Bourgs ruraux",1759,94.0377,94.6539
57483,44,57,Morhange,221.59,5,"Bourgs ruraux",3408,572.45,83.2028
57484,44,57,Morsbach,527.31,4,"Ceintures urbaines",2684,155.448,94.2084
57485,44,57,Morville-lès-Vic,15.23,6,"Rural à habitat dispersé",124,5.04065,95.935
57486,44,57,Morville-sur-Nied,20.74,6,"Rural à habitat dispersé",117,10,91.453
57487,44,57,Moulins-lès-Metz,717.34,4,"Ceintures urbaines",5007,329.182,93.4256
57488,44,57,Moussey,71.23,6,"Rural à habitat dispersé",562,55,90.2135
57489,44,57,Mouterhouse,7.09,6,"Rural à habitat dispersé",302,24.6882,91.8251
57490,44,57,Moyenvic,23.83,6,"Rural à habitat dispersé",345,10,97.1014
57491,44,57,Moyeuvre-Grande,782.69,4,"Ceintures urbaines",7506,377.478,94.971
57492,44,57,Moyeuvre-Petite,83.06,4,"Ceintures urbaines",451,10,97.7827
57493,44,57,Mulcey,25.3,6,"Rural à habitat dispersé",211,10,95.2607
57494,44,57,Munster,36.21,6,"Rural à habitat dispersé",239,30,87.4477
57495,44,57,Narbéfontaine,32.4,7,"Rural à habitat très dispersé",116,14.7458,87.2881
57496,44,57,Nébing,45.52,6,"Rural à habitat dispersé",335,15,95.5224
57497,44,57,Nelling,35.54,6,"Rural à habitat dispersé",263,25,90.4943
57498,44,57,Neufchef,154.72,4,"Ceintures urbaines",2590,94.9837,96.3327
57499,44,57,Neufgrange,189.26,6,"Rural à habitat dispersé",1357,58.5664,95.6841
57500,44,57,Neufmoulins,22.28,7,"Rural à habitat très dispersé",43,NULL,NULL
57501,44,57,Neufvillage,59.02,7,"Rural à habitat très dispersé",36,NULL,NULL
57502,44,57,Neunkirchen-lès-Bouzonville,86.84,6,"Rural à habitat dispersé",330,10,96.9697
57504,44,57,Niderhoff,52.83,6,"Rural à habitat dispersé",280,NULL,NULL
57505,44,57,Niderviller,112.34,4,"Ceintures urbaines",1211,94.7556,92.1754
57506,44,57,Niederstinzel,19.44,6,"Rural à habitat dispersé",252,19.4241,92.292
57507,44,57,Niedervisse,46.1,6,"Rural à habitat dispersé",266,24.5387,90.7749
57508,44,57,Nilvange,1606.76,1,"Grands centres urbains",4515,223.824,95.0427
57509,44,57,Nitting,54.06,6,"Rural à habitat dispersé",479,4.91786,98.9733
57510,44,57,Noisseville,412.31,5,"Bourgs ruraux",1072,41.3666,96.1412
57511,44,57,Norroy-le-Veneur,122.25,4,"Ceintures urbaines",1033,106.167,89.7225
57512,44,57,Nouilly,298.33,4,"Ceintures urbaines",716,30.1559,95.7883
57513,44,57,Nousseviller-lès-Bitche,30.86,6,"Rural à habitat dispersé",150,10,93.3333
57514,44,57,Nousseviller-Saint-Nabor,194.78,5,"Bourgs ruraux",1194,60.4047,94.941
57515,44,57,Novéant-sur-Moselle,141.43,4,"Ceintures urbaines",1823,133.826,92.659
57516,44,57,Oberdorff,79.86,6,"Rural à habitat dispersé",337,15.3064,95.458
57517,44,57,Obergailbach,31.48,6,"Rural à habitat dispersé",283,30.1843,89.3342
57518,44,57,Oberstinzel,65.29,6,"Rural à habitat dispersé",331,37.6138,88.6363
57519,44,57,Obervisse,36.36,6,"Rural à habitat dispersé",160,10.1266,93.6709
57520,44,57,Obreck,10.19,6,"Rural à habitat dispersé",33,NULL,NULL
57521,44,57,Œting,616.4,4,"Ceintures urbaines",2706,191.825,92.9111
57524,44,57,Ommeray,12.65,6,"Rural à habitat dispersé",128,4.96124,96.124
57525,44,57,Oriocourt,12.39,6,"Rural à habitat dispersé",55,NULL,NULL
57526,44,57,Ormersviller,52.47,6,"Rural à habitat dispersé",383,29.091,92.4044
57527,44,57,Orny,48.77,6,"Rural à habitat dispersé",356,14.6988,95.8711
57528,44,57,Oron,18.81,6,"Rural à habitat dispersé",101,15,85.1485
57529,44,57,Ottange,200.19,4,"Ceintures urbaines",3099,112.704,96.3632
57530,44,57,Ottonville,28.13,6,"Rural à habitat dispersé",442,4.64791,98.9484
57531,44,57,Oudrenne,36.46,6,"Rural à habitat dispersé",743,55.8063,92.4891
57532,44,57,Pagny-lès-Goin,44.29,6,"Rural à habitat dispersé",229,37.9975,83.4072
57533,44,57,Pange,101.98,6,"Rural à habitat dispersé",874,34.9201,96.0046
57534,44,57,Peltre,220.07,5,"Bourgs ruraux",1842,90,95.114
57535,44,57,Petit-Réderching,131.18,5,"Bourgs ruraux",1443,135,90.6445
57536,44,57,Petit-Tenquin,45.29,6,"Rural à habitat dispersé",221,23.8147,89.2241
57537,44,57,Petite-Rosselle,1247.13,4,"Ceintures urbaines",6298,456.393,92.7534
57538,44,57,Pettoncourt,60.2,6,"Rural à habitat dispersé",295,10.0991,96.5766
57539,44,57,Pévange,23.71,7,"Rural à habitat très dispersé",46,5,89.1304
57540,44,57,Phalsbourg,359.62,5,"Bourgs ruraux",4729,625,86.7837
57541,44,57,Philippsbourg,25.01,6,"Rural à habitat dispersé",593,67.6041,88.5996
57542,44,57,Piblange,101.56,5,"Bourgs ruraux",974,30,96.9199
57543,44,57,Pierrevillers,256.95,4,"Ceintures urbaines",1498,69.6945,95.3475
57544,44,57,Plaine-de-Walsch,123.49,6,"Rural à habitat dispersé",615,35,94.3089
57545,44,57,Plappeville,795.67,4,"Ceintures urbaines",2021,101.928,94.9566
57546,44,57,Plesnois,260.77,4,"Ceintures urbaines",811,15.1494,98.132
