,id_city,city_name,density_degree,density_type,total_pop_2019
398,02006,Aisonville-et-Bernoville,6,Rural à habitat dispersé,262
399,02007,Aizelles,6,Rural à habitat dispersé,122
400,02008,Aizy-Jouy,6,Rural à habitat dispersé,294
401,02009,Alaincourt,5,Bourgs ruraux,534
402,02010,Allemant,6,Rural à habitat dispersé,173
403,02011,Ambleny,5,Bourgs ruraux,1138
404,02012,Ambrief,6,Rural à habitat dispersé,71
405,02013,Amifontaine,6,Rural à habitat dispersé,386
406,02014,Amigny-Rouy,5,Bourgs ruraux,729
407,02015,Ancienville,6,Rural à habitat dispersé,72
408,02016,Andelain,6,Rural à habitat dispersé,216
409,02017,Anguilcourt-le-Sart,6,Rural à habitat dispersé,323
410,02018,Anizy-le-Grand,5,Bourgs ruraux,2574
411,02019,Annois,6,Rural à habitat dispersé,362
412,02020,Any-Martin-Rieux,6,Rural à habitat dispersé,455
413,02021,Archon,6,Rural à habitat dispersé,84
414,02022,Arcy-Sainte-Restitue,6,Rural à habitat dispersé,403
415,02023,Armentières-sur-Ourcq,6,Rural à habitat dispersé,102
416,02024,Arrancy,7,Rural à habitat très dispersé,51
417,02025,Artemps,6,Rural à habitat dispersé,367
418,02027,Assis-sur-Serre,6,Rural à habitat dispersé,214
419,02028,Athies-sous-Laon,5,Bourgs ruraux,2606
420,02029,Attilly,6,Rural à habitat dispersé,354
421,02030,Aubencheul-aux-Bois,6,Rural à habitat dispersé,257
422,02031,Aubenton,6,Rural à habitat dispersé,661
423,02032,Aubigny-aux-Kaisnes,6,Rural à habitat dispersé,253
424,02033,Aubigny-en-Laonnois,6,Rural à habitat dispersé,104
425,02034,Audignicourt,6,Rural à habitat dispersé,121
426,02035,Audigny,6,Rural à habitat dispersé,280
427,02036,Augy,6,Rural à habitat dispersé,72
428,02037,Aulnois-sous-Laon,5,Bourgs ruraux,1386
429,02038,Les Autels,7,Rural à habitat très dispersé,59
430,02039,Autremencourt,6,Rural à habitat dispersé,173
431,02040,Autreppes,6,Rural à habitat dispersé,180
432,02041,Autreville,5,Bourgs ruraux,807
433,02042,Azy-sur-Marne,6,Rural à habitat dispersé,384
434,02043,Bagneux,6,Rural à habitat dispersé,65
435,02044,Bancigny,7,Rural à habitat très dispersé,25
436,02046,Barenton-Bugny,6,Rural à habitat dispersé,557
437,02047,Barenton-Cel,6,Rural à habitat dispersé,108
438,02048,Barenton-sur-Serre,6,Rural à habitat dispersé,133
439,02049,Barisis-aux-Bois,5,Bourgs ruraux,739
440,02050,Barzy-en-Thiérache,6,Rural à habitat dispersé,323
441,02051,Barzy-sur-Marne,6,Rural à habitat dispersé,391
442,02052,Bassoles-Aulers,6,Rural à habitat dispersé,135
443,02053,Vallées en Champagne,7,Rural à habitat très dispersé,571
444,02054,Bazoches-et-Saint-Thibaut,6,Rural à habitat dispersé,542
445,02055,Beaumé,7,Rural à habitat très dispersé,88
446,02056,Beaumont-en-Beine,6,Rural à habitat dispersé,179
447,02057,Beaurevoir,5,Bourgs ruraux,1406
448,02058,Beaurieux,6,Rural à habitat dispersé,856
